Distribution,rho,distribt i=1,distribt j=1,DP (OPT),ADP,TIE,LA,NT,RC
Poisson,29,0.5,0.5,70.72,70.32,70.91,70.81,69.29,66.72
Poisson,29,0.5,1.0,148.42,146.97,149.15,148.44,146.68,145.51
Poisson,29,0.5,1.5,257.76,254.23,254.99,253.33,255.03,253.52
Poisson,29,1.0,0.5,91.52,91.38,91.56,91.63,90.45,90.06
Poisson,29,1.0,1.0,166.34,165.01,163.09,165.2,164.31,164.62
Poisson,29,1.0,1.5,274.56,274.08,270.81,267.2,271.84,273.49
Poisson,29,1.5,0.5,142.9,142.59,140.18,141.07,141.44,141.33
Poisson,29,1.5,1.0,213.46,212.78,208.99,212.0,210.14,212.18
Poisson,29,1.5,1.5,327.11,326.62,317.68,322.28,323.58,325.96
Poisson,61,0.5,0.5,69.16,69.29,58.21,69.29,69.29,53.98
Poisson,61,0.5,1.0,146.85,146.24,137.02,145.04,146.68,136.2
Poisson,61,0.5,1.5,255.24,255.14,241.58,249.75,255.03,243.47
Poisson,61,1.0,0.5,90.33,88.26,78.99,90.45,90.45,80.81
Poisson,61,1.0,1.0,164.3,159.69,145.1,162.0,164.31,158.73
Poisson,61,1.0,1.5,271.82,268.96,249.63,268.89,271.84,267.53
Poisson,61,1.5,0.5,141.44,139.54,126.1,141.34,141.44,131.44
Poisson,61,1.5,1.0,210.27,207.69,187.3,205.52,210.14,206.39
Poisson,61,1.5,1.5,323.97,321.47,287.15,320.58,323.58,320.2
