Distribution,rho,distribt i=1,distribt j=1,DP (OPT),ADP,TIE,LA,NT,RC
Uniform,29,1,1,95.88,95.97,92.71,95.88,94.98,93.52
Uniform,29,1,2,198.5,198.37,197.46,199.01,196.31,197.17
Uniform,29,1,3,308.65,305.8,306.78,299.28,305.25,305.62
Uniform,29,2,1,141.57,141.59,139.32,141.9,140.89,137.64
Uniform,29,2,2,246.79,246.0,244.56,246.21,244.33,243.68
Uniform,29,2,3,358.42,355.46,355.96,344.38,354.24,353.73
Uniform,29,3,1,192.21,191.94,190.32,188.72,190.84,189.75
Uniform,29,3,2,294.29,293.9,292.35,264.44,291.48,292.82
Uniform,29,3,3,403.44,402.43,397.26,391.87,401.12,401.29
Uniform,61,1,1,94.98,94.98,84.71,94.98,94.98,85.84
Uniform,61,1,2,196.31,195.03,189.17,193.72,196.31,189.55
Uniform,61,1,3,304.86,305.09,295.45,289.11,305.25,297.42
Uniform,61,2,1,140.89,138.85,131.03,140.89,140.89,129.73
Uniform,61,2,2,244.33,243.94,229.87,243.19,244.33,235.23
Uniform,61,2,3,354.3,354.49,338.93,342.52,354.24,345.44
Uniform,61,3,1,190.84,188.03,178.07,190.84,190.84,180.75
Uniform,61,3,2,291.48,288.96,273.75,278.22,291.48,284.18
Uniform,61,3,3,400.41,397.17,365.23,382.34,401.12,392.11
